VarThetaNonZeroMean,KurtRWhole,KurtThetaNonZeroMean,CrestRWhole,RMSRWhole,X95PrctlR
0.258213924,-0.019476116,1.043681009,1.489836987,0.311207366,0.463648245
0.253358924,0.184502872,1.310136671,1.490727234,0.30694782,0.457575475
0.198213911,0.033797977,2.431848266,1.484122491,0.305264139,0.453049374
0.264763837,0.1097775,1.128084002,1.500651096,0.315941402,0.474117811
0.260171672,0.087505609,1.297106399,1.502484807,0.311725542,0.46836289
0.2238788,0.576277371,1.99925403,1.491833926,0.301546322,0.449857033
0.285153177,0.39827421,0.921813032,1.588617251,0.330153423,0.524487423
0.236117229,0.552998311,1.860797973,1.548654538,0.315110393,0.48799714
0.193946365,0.454487458,2.56754442,1.523553704,0.309578415,0.471659341
