Filter_Stage,Pressure,Min,Max,Mean,Median,Mode,Variance,Skewness,Kurtosis,perc_2,perc_5,perc_20,perc_80,perc_95,perc_98,Range
0,6,0.503,5.996,4.787,5.95,5.964,4.895,-1.385,-0.073,0.536,0.543,0.571,5.965,5.977,5.982,5.493
0,6,0.466,6.026,2.268,0.528,0.515,6.438,0.764,-1.409,0.488,0.497,0.509,5.971,5.996,6.002,5.56
0,6,0.436,6.057,1.353,0.485,0.478,4.022,1.868,1.502,0.451,0.457,0.469,0.506,6.023,6.036,5.621
0,8,0.463,8.133,6.441,8.06,8.068,9.54,-1.393,-0.048,0.488,0.494,0.54,8.081,8.109,8.117,7.67
0,8,0.42,8.075,2.858,0.543,0.523,11.978,0.806,-1.343,0.433,0.441,0.5,8.004,8.054,8.063,7.655
0,8,0.512,8.078,1.762,0.555,0.546,7.47,1.832,1.376,0.528,0.534,0.543,0.574,8.054,8.063,7.566
1,6,0.66,6.014,4.881,5.962,5.973,4.479,-1.457,0.136,0.684,0.693,0.742,5.98,5.993,5.999,5.354
1,6,0.611,5.901,2.297,0.653,0.651,5.811,0.78,-1.386,0.629,0.632,0.641,5.839,5.867,5.876,5.29
1,6,0.574,5.845,1.402,0.614,0.608,3.445,1.929,1.732,0.592,0.595,0.604,0.629,5.809,5.818,5.271
1,8,0.709,8.029,6.464,7.974,7.984,8.51,-1.427,0.045,0.742,0.757,0.819,7.995,8.008,8.011,7.32
1,8,0.773,7.983,3.027,0.822,0.821,10.76,0.814,-1.332,0.788,0.798,0.81,7.925,7.955,7.961,7.21
1,8,0.745,7.965,1.881,0.795,0.794,6.483,1.921,1.71,0.764,0.767,0.779,0.81,7.928,7.937,7.22
1,6,1.175,6.575,5.397,6.52,6.529,4.674,-1.41,-0.003,1.202,1.209,1.233,6.535,6.548,6.554,5.4
1,6,1.178,6.517,2.878,1.215,1.2,5.961,0.781,-1.387,1.193,1.196,1.206,6.462,6.486,6.493,5.339
1,6,1.181,6.496,2.01,1.215,1.216,3.513,1.933,1.747,1.196,1.199,1.208,1.227,6.471,6.48,5.315
1,8,1.178,8.563,6.955,8.51,8.528,8.789,-1.392,-0.047,1.206,1.224,1.291,8.532,8.544,8.547,7.385
1,8,1.181,8.477,3.519,1.227,1.21,11.174,0.772,-1.396,1.196,1.202,1.215,8.422,8.452,8.461,7.296
1,8,1.064,8.4,2.227,1.104,1.096,6.795,1.891,1.595,1.077,1.08,1.092,1.126,8.36,8.369,7.336
1,6,1.451,6.867,5.67,6.772,6.781,4.584,-1.426,0.045,1.475,1.482,1.561,6.796,6.824,6.836,5.416
1,6,1.445,6.732,3.1,1.478,1.471,5.789,0.809,-1.338,1.457,1.46,1.466,6.686,6.707,6.713,5.287
1,6,1.472,6.799,2.345,1.524,1.519,3.55,1.863,1.491,1.491,1.494,1.509,1.574,6.726,6.75,5.327
1,8,1.524,8.694,7.159,8.648,8.658,8.252,-1.419,0.022,1.558,1.57,1.62,8.664,8.673,8.679,7.17
1,8,1.54,8.636,3.763,1.61,1.6,10.36,0.818,-1.328,1.564,1.57,1.589,8.572,8.606,8.615,7.096
1,8,1.528,8.609,2.603,1.574,1.573,6.059,1.973,1.917,1.54,1.546,1.558,1.592,8.572,8.581,7.081
