AV1_1,AV2_1,AV3_1,P1 classification,P2 classification,P3 classification
-0.003140274,-0.013284595,0.016199831,green,green,green
0.018854619,0.050298563,-0.073197225,green,green,green
0.21097233,0.04099979,-0.321566631,yellow,green,green
-0.269067029,0.247901686,-0.047709359,green,yellow,green
0.021608697,-0.094571632,0.066222881,green,green,yellow
0.505587987,0.056006877,-1.142605202,red,green,green
0.510685015,0.050368363,-1.152069582,red,green,green
-0.99197699,0.497788552,0.000393494,green,red,green
0.070990264,-0.973626513,0.454600464,green,green,red
0.015328499,0.123634683,-0.158839927,green,green,green
0.21192269,0.065719206,-0.358168817,yellow,green,green
-0.24816718,0.236148817,-0.048862324,green,yellow,green
0.023429745,-0.074438348,0.046951489,green,green,yellow
0.505661654,0.055052997,-1.140761316,red,green,green
-0.966951441,0.492150004,-0.001084894,green,red,green
0.048171709,-1.040224141,0.485051842,green,green,red
0.002946131,0.170360103,-0.208903814,yellow,yellow,green
0.179829646,-0.093395867,-0.11511204,yellow,green,yellow
-0.130043145,0.025230335,0.092173263,green,yellow,yellow
0.031903292,0.067915166,-0.10821957,green,green,green
0.221413039,0.037334637,-0.334189529,yellow,green,green
-0.239610652,0.225471092,-0.041542674,green,yellow,green
0.033658915,-0.124257503,0.079542457,green,green,yellow
0.509869819,0.057369057,-1.164446533,red,green,green
-0.977377176,0.498483493,-0.008382386,green,red,green
0.031873853,-1.044223242,0.494711134,green,green,red
0.001369224,0.174618975,-0.213222828,yellow,yellow,green
0.171135169,-0.078008626,-0.119164823,yellow,green,yellow
-0.158010518,0.051050773,0.089993447,green,yellow,yellow
