Vac_level,R_95P,R_Crest_Factor,R_RMS,Theta_Var,Theta_Skew,Theta_Kurt
10,2.743,1.742,1.575,2.315,-0.553,-1.147
12,3.066,1.875,1.635,2.317,-0.617,0.749
10,3.146,1.767,1.78,2.518,-0.33,-1.457
12,3.569,1.797,1.986,2.498,-0.391,-1.432
10,3.364,1.671,2.012,1.59,-0.067,-0.837
12,3.64,1.642,2.217,2.638,-0.156,-1.649
10,2.773,1.702,1.63,2.423,-0.4,-1.482
12,3.238,1.757,1.843,2.388,-0.401,-1.503
10,3.447,1.617,2.132,2.31,-0.28,-1.624
12,3.499,1.623,2.156,2.424,-0.196,-1.637
10,3.637,1.566,2.322,2.264,-0.178,-1.62
12,3.027,1.632,1.855,2.546,-0.279,-1.471
