Vac_Level,Crest_Factor_R,Percentile_95_R,RMS_R,Kurtosis_R,Variance_Theta,Kurtosis_Theta,oil_state
2,1.583050915,0.501190053,0.316597557,0.399504831,0.181655166,2.814136501,0
2,1.579322399,0.500746156,0.317063924,0.158928781,0.181897289,3.070558912,0
4,1.618908969,0.53273848,0.329072536,0.904426737,0.201785014,2.561388815,0
4,1.612301355,0.518358011,0.321501939,0.403042453,0.197292318,2.521156995,0
6,1.615076533,0.536705489,0.332309632,0.813639521,0.218826913,2.257244996,0
6,1.626572562,0.538028777,0.330774531,0.652577762,0.197356845,2.506066186,0
8,1.589560573,0.526685736,0.331340463,1.021739975,0.216728893,2.229447471,0
8,1.59536003,0.530940973,0.332803231,0.61915413,0.190755877,2.747995999,0
10,1.575005741,0.518210845,0.32902156,0.940282873,0.248883061,1.583765692,0
10,1.567129692,0.511801222,0.32658511,0.455489814,0.216256809,2.198954804,0
12,1.542078994,0.496407673,0.32190807,0.393686052,0.228455351,1.81542143,0
12,1.567153945,0.511419539,0.326336504,0.750001072,0.212855681,2.085793033,0
2,1.567548884,0.489159782,0.312053925,0.061324571,0.190979354,2.774347996,1
2,1.557949654,0.489601194,0.314259959,0.196908754,0.187984033,2.908749223,1
4,1.576454565,0.501776776,0.318294474,0.195026044,0.214231627,2.21948469,1
4,1.571756265,0.491464004,0.312684616,0.125045037,0.204527619,2.466490604,1
6,1.563056086,0.498220356,0.318747587,0.099896375,0.218393945,2.007392022,1
6,1.586862679,0.508463198,0.320420415,0.168879221,0.210623075,2.388894612,1
8,1.598635155,0.515290171,0.322331315,0.301457789,0.248623992,1.693804929,1
8,1.600899045,0.519514942,0.324514493,0.401702797,0.217304075,2.20993339,1
10,1.610497946,0.548495372,0.340575021,0.712138171,0.221380973,2.005310192,1
10,1.605488513,0.529925638,0.330071274,0.788480769,0.223104618,2.261875006,1
12,1.541716062,0.489172409,0.317290856,0.600917044,0.226471297,1.922515905,1
12,1.595437299,0.514006653,0.322172895,0.605425119,0.216409483,2.123366756,1
2,1.371432941,0.388023568,0.282932951,0.556039665,0.141070243,3.300101377,0
2,1.373811007,0.392530556,0.28572384,0.489571879,0.132141204,3.519903331,0
4,1.353045549,0.387148605,0.286131243,0.718636742,0.175970253,2.36164295,0
4,1.38001726,0.398098797,0.288473781,0.372944737,0.155567655,2.607684831,0
6,1.389844449,0.421801893,0.303488562,0.43826452,0.221626557,1.490289573,0
6,1.454603793,0.434934548,0.29900551,0.324777966,0.184752369,2.703285786,0
8,1.515624694,0.480183605,0.316822236,0.30697979,0.238628963,1.516765386,0
8,1.528746808,0.47873212,0.313153308,0.153559447,0.211980233,2.197151484,0
10,1.573269246,0.516757508,0.328460948,0.063555777,0.259404366,1.326036879,0
10,1.568237227,0.501409787,0.319728277,0.325642671,0.243697977,1.781479703,0
12,1.610432641,0.539038418,0.334716525,0.41483079,0.252265968,1.554478081,0
12,1.560898376,0.495355226,0.317352644,0.195775934,0.238114671,1.819640662,0
2,1.480321346,0.438826843,0.296440259,0.147151943,0.175969282,2.712152181,1
2,1.474665107,0.433926672,0.294254384,0.088142963,0.164181529,3.243712119,1
4,1.457755136,0.437504518,0.30012209,0.039643689,0.170731267,2.887640198,1
4,1.474216685,0.432274295,0.293223038,0.104448347,0.177065693,2.895714197,1
6,1.511157679,0.465730718,0.308194654,0.120270097,0.217857452,1.942503742,1
6,1.533055704,0.472102279,0.307948548,0.263786377,0.204452431,2.283626245,1
8,1.585311373,0.520391137,0.328257998,0.106593702,0.236350152,1.97512851,1
8,1.544549618,0.484958863,0.31398076,0.184946202,0.216287939,2.090758474,1
10,1.612019334,0.546183547,0.338819477,0.301227674,0.246989991,1.525509289,1
10,1.572061152,0.508658962,0.323561817,0.432516253,0.248632252,1.639054087,1
12,1.582285653,0.515113821,0.325550459,0.280407149,0.243260354,1.621047184,1
12,1.563243273,0.504833987,0.322940131,0.169013689,0.25017103,1.377903988,1
